domain,has_caa,issue_count,issuewild_count,iodef_count,ca_list
"google.no","true",1,0,0,"pki.goog"
"uio.no","true",1,1,1,"harica.gr"
"helsenorge.no","true",2,1,1,"digicert.com;letsencrypt.org"
"dnb.no","true",4,3,1,"amazon.com;buypass.com;digicert.com;letsencrypt.org"
"norid.no","true",1,0,0,"letsencrypt.org"
"online.no","true",5,6,1,"buypass.no;letsencrypt.org;sectigo.com;telenor.net;trust-provider.com;usertrust.com"
"uninett.no","true",4,2,0,"amazon.com;harica.gr;letsencrypt.org;sectigo.com"
"telenor.no","true",8,3,1,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;buypass.no;digicert.com;letsencrypt.org;sectigo.com;telenor.net"
"dn.no","true",5,0,0,"amazonaws.com;certainly.com;digicert.com;pki.goog;sectigo.com"
"nav.no","true",3,0,1,"buypass.com;digicert.com;sectigo.com"
"nextra.no","true",1,1,1,"buypass.no;telenor.net"
"sparebank1.no","true",5,4,1,"amazonaws.com;buypass.com;digicert.com;letsencrypt.org;sectigo.com"
"snl.no","true",2,0,0,"letsencrypt.org;pki.googl"
"blogspot.no","true",1,0,0,"pki.goog"
"norsk-tipping.no","true",6,3,1,"amazonaws.com;buypass.com;digicert.com;globalsign.com;letsencrypt.org;sectigo.com"
"bankid.no","true",7,6,1,"buypass.com;comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;ssl.com"
"abcnyheter.no","true",5,2,0,"amazon.com;amazonaws.com;digicert.com;letsencrypt.org;pki.goog"
"digitalarkivet.no","true",2,0,0,"harica.gr;sectigo.com"
"gulesider.no","true",6,6,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"storebrand.no","true",7,0,1,"amazon.com;buypass.no;digicert.com;globalsign.com;infocert.it;letsencrypt.org;pki.goog"
"unit.no","true",3,1,1,"amazon.com;harica.gr;letsencrypt.org"
"nordea.no","true",6,0,2,"buypass.no;digicert.com;entrust.net;globalsign.com;letsencrypt.org;sectigo.com"
"domeneshop.no","true",2,1,1,"digicert.com;letsencrypt.org"
"oslomet.no","true",2,2,1,"harica.gr;letsencrypt.org"
"nb.no","true",3,1,0,"harica.gr;letsencrypt.org;sectigo.com"
"idporten.no","true",3,0,1,"digicert.com;letsencrypt.org;sectigo.com"
"gjensidige.no","true",4,0,1,"buypass.no;digicert.com;letsencrypt.org;pki.goog"
"nordnet.no","true",1,1,1,"digicert.com"
"rikstoto.no","true",3,0,1,"digicert.com;globalsign.com;letsencrypt.org"
"mykid.no","true",5,5,1,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"fiken.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"nhn.no","true",5,0,1,"digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"forbrukerradet.no","true",3,2,0,"digicert.com;letsencrypt.org;sectigo.com"
"netclient.no","true",1,0,0,"none"
"bibsys.no","true",3,1,1,"amazon.com;harica.gr;letsencrypt.org"
"udi.no","true",4,0,1,"buypass.no;geotrust.com;letsencrypt.org;sectigo.com"
"pcsupport.no","true",5,3,1,"buypass.no;globalsign.com;letsencrypt.com;letsencrypt.org;trustzone.com"
"lanekassen.no","true",3,1,0,"buypass.com;buypass.no;digicert.com"
"bi.no","true",4,1,1,"digicert.com;letsencrypt.org;pki.goog;sectigo.com"
"rema.no","true",4,0,1,"digicert.com;entrust.net;pki.goog;sectigo.com"
"vitusapotek.no","true",4,2,0,"comodoca.com.;globalsign.com;letsencrypt.org;sectigo.com"
"stortinget.no","true",9,3,0,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;buypass.com;buypass.no;harica.gr;letsencrypt.org;pki.goog"
"strawberry.no","true",5,0,0,"Digicert.com;amazonaws.com;buypass.com;letsencrypt.org;sectigo.com"
"sykehuspartner.no","true",6,0,1,"buypass.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com"
"wideroe.no","true",9,6,0,"awstrust.com;buypass.no;comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"digipost.no","true",2,1,1,"buypass.no;letsencrypt.org"
"vktv.no","true",1,0,0,"letsencrypt.org"
"myheritage.no","true",1,0,0,"www.digicert.com"
"ellos.no","true",5,2,0,"amazon.com;digicert.com;godaddy.com;letsencrypt.org;pki.goog"
"bib.no","true",1,0,0,"globalsign.com"
"npolar.no","true",7,0,2,"buypass.com;buypass.no;globalsign.com;harica.gr;letsencrypt.org;pki.goog;sectigo.com"
"kartverket.no","true",3,1,1,"buypass.com;digicert.com;letsencrypt.org"
"ving.no","true",3,0,0,"digicert.com;globalsign.com;letsencrypt.org"
"tikt.no","true",4,3,1,"digicert.com;globalsign.com;letsencrypt.org;sectigo.com"
"banenor.no","true",2,0,1,"buypass.no;digicert.com"
"miljodirektoratet.no","true",6,0,1,"buypass.no;comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog"
"braathe.no","true",4,0,0,"digicert.com;globalsign.com;letsencrypt.org;sectigo.com"
"airbnb.no","true",1,0,1,"digicert.com"
"vegvesen.no","true",1,1,0,"globalsign.com"
"mnemonic.no","true",1,0,0,"digicert.com"
"hi.no","true",2,0,1,"digicert.com;letsencrypt.org"
"inn.no","true",2,0,1,"harica.gr;letsencrypt.org"
"sikt.no","true",4,3,0,"amazon.com;harica.gr;letsencrypt.org;sectigo.com"
"osloskole.no","true",5,5,1,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"spv.no","true",6,0,0,"amazontrust.com;awstrust.com;buypass.no;digicert.com;letsencrypt.org;sectigo.com"
"startsiden.no","true",2,0,0,"amazon.com;letsencrypt.org"
"imusic.no","true",1,0,0,"letsencrypt.org"
"telia-isp.no","true",3,1,0,"letsencrypt.org;sonera.net;telia.fi"
"youtube.no","true",1,0,0,"pki.goog"
"nilu.no","true",1,1,0,"harica.gr"
"reisenett.no","true",4,1,0,"buypass.com;digicert.com;letsencrypt.org;sectigo.com"
"tdc.no","true",1,0,0,"letsencrypt.org"
"dibk.no","true",7,5,0,"buypass.no;comodoca.com;digicert.com;godaddy.com;letsencrypt.org;pki.goog;ssl.com"
"utdanning.no","true",2,0,0,"harica.gr;sectigo.com"
"banknorwegian.no","true",2,0,0,"digicert.com;letsencrypt.org"
"netonnet.no","true",3,0,1,"amazontrust.com;globalsign.com;letsencrypt.org"
"cmi.no","true",3,1,0,"digicert.com;harica.gr;sectigo.com"
"fjordmail.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"kystverket.no","true",6,0,1,"digicert.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"boots.no","true",5,1,0,"buypass.no;digicert.com;godaddy.com;letsencrypt.org;sectigo.com"
"pluto.no","true",4,1,0,"buypass.com;digicert.com;letsencrypt.org;sectigo.com"
"innocode.no","true",2,0,0,"letsencrypt.org;pki.goog"
"arkivverket.no","true",4,0,0,"harica.gr;letsencrypt.org;pki.goog;sectigo.com"
"husbanken.no","true",2,1,1,"sectigo.com;www.digicert.com"
"dyreparken.no","true",11,7,1,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;buypass.no;comodoca.com;digicert.com;godaddy.com;letsencrypt.org;pki.goog;ssl.com"
"mensa.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"komplettbedrift.no","true",4,0,0,"comodo.com;globalsign.com;letsencrypt.org;symantec.com"
"nvlsi.no","true",1,0,0,"letsencrypt.org"
"statnett.no","true",6,1,1,"buypass.no;digicert.com;entrust.net;globalsign.com;letsencrypt.org;sectigo.com"
"bankidapis.no","true",7,7,1,"buypass.com;comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;ssl.com"
"upheads.no","true",5,0,1,"buypass.no;digicert.com;godaddy.com;letsencrypt.org;sectigo.com"
"norceresearch.no","true",2,0,0,"letsencrypt.org;sectigo.com"
"apollo.no","true",7,7,1,"amazon.com;comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;ssl.com"
"digdir.no","true",5,0,1,"buypass.no;commfides.com;digicert.com;letsencrypt.org;sectigo.com"
"handelsbanken.no","true",1,1,1,"digicert.com"
"himolde.no","true",2,0,0,"harica.gr;letsencrypt.org"
"gastroplanner.no","true",1,0,0,"letsencrypt.org"
"nsf.no","true",1,0,1,"buypass.no"
"munchmuseet.no","true",6,5,0,"buypass.no;comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"eika.no","true",5,4,0,"buypass.no;digicert.com;geotrust.com;globalsign.com;sectigo.com"
"frende.no","true",4,0,1,"Digicert.com;awstrust.com;comodoca.com;letsencrypt.org"
"drlinux.no","true",1,0,0,"letsencrypt.org"
"marinebenefits.no","true",3,0,0,"letsencrypt.org;pki.goog;ssl.com"
"miinto.no","true",2,1,0,"certum.pl;digicert.com"
"talkmore.no","true",1,0,0,"none"
"vps.no","true",5,0,0,"comodoca.com;geotrust.com;globalsign.com;letsencrypt.org;symantec.com"
"mattilsynet.no","true",4,1,0,"buypass.com;digicert.com;letsencrypt.org;pki.goog"
"fredrikoglouisa.no","true",1,0,0,"none"
"vigilo-oas.no","true",4,0,0,"digicert.com;geotrust.com;godaddy.com;www.digicert.com"
"spk.no","true",1,1,1,"sectigo.com"
"tjenestetorget.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"fiskeridir.no","true",3,0,1,"buypass.no;certainly.com;globalsign.com"
"gard.no","true",3,1,0,"digicert.com;geotrust.com;globalsign.com"
"difi.no","true",3,0,1,"digicert.com;letsencrypt.org;sectigo.com"
"eiendomsmegler1.no","true",3,3,1,"amazonaws.com;letsencrypt.org;sectigo.com"
"dustin.no","true",8,6,0,"amazon.com;amazonaws.com;amazontrust.com;amazonws.com;awstrust.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com"
"ksat.no","true",3,0,0,"harica.gr;letsencrypt.org;pki.goog"
"sbanken.no","true",5,0,1,"awstrust.com;buypass.com;digicert.com;letsencrypt.org;pki.goog"
"sbm.no","true",5,5,1,"globalsign.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"norge.no","true",4,0,1,"buypass.no;digicert.com;letsencrypt.org;sectigo.com"
"webfokus.no","true",1,0,1,"letsencrypt.org"
"nuug.no","true",1,0,1,"letsencrypt.org"
"firstit.no","true",3,0,0,"digicert.com;letsencrypt.org;sectigo.com"
"dustinhome.no","true",8,6,0,"amazon.com;amazonaws.com;amazontrust.com;amazonws.com;awstrust.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com"
"minid.no","true",4,0,1,"buypass.no;digicert.com;letsencrypt.org;sectigo.com"
"kondomeriet.no","true",8,5,0,"amazon.com;cloudflare.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"thomannmusic.no","true",3,0,0,"digicert.com;letsencrypt.org;pki.goog"
"webgate.no","true",6,5,1,"comodoca.com;digicert.com;godaddy.com;letsencrypt.org;pki.goog;ssl.com"
"wemail.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"sticos.no","true",6,6,1,"buypass.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"gamereactor.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"nytelse.no","true",7,5,0,"cloudflare.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"postkodelotteriet.no","true",2,1,0,"amazon.com;globalsign.com"
"youpark.no","true",6,6,0,"comodoca.com;digicert.com;godaddy.com;letsencrypt.org;pki.goog;ssl.com"
"miljofyrtarn.no","true",4,0,0,"buypass.com;letsencrypt.org;pki.goog;www.digicert.com"
"mrfylke.no","true",3,0,0,"buypass.com;buypass.no;digicert.com"
"dips.no","true",5,0,1,"buypass.com;buypass.no;digicert.com;godaddy.com;letsencrypt.org"
"dnbbank.no","true",5,0,1,"amazon.com;buypass.com;digicert.com;dvv.fi;fineid.fi"
"ravn.no","true",1,1,1,"letsencrypt.org"
"folio.no","true",2,0,0,"letsencrypt.org;pki.goog"
"nasjonaleturistveger.no","true",3,1,0,"globalsign.com;letsencrypt.org;pki.goog"
"sv.no","true",2,0,1,"buypass.no;letsencrypt.org"
"kjernejournal-test.no","true",1,1,0,"letsencrypt.org"
"hioa.no","true",1,1,1,"harica.gr"
"prisradar.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"hivolda.no","true",3,1,1,"harica.gr;letsencrypt.org;sectigo.com"
"skittfiske.no","true",6,5,0,"amazon.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"skagenfondene.no","true",5,0,1,"amazon.com;buypass.no;globalsign.com;letsencrypt.org;pki.goog"
"ife.no","true",4,4,0,"digicert.com;harica.gr;letsencrypt.org;sectigo.com"
"abcmedia.no","true",1,0,0,"letsencrypt.org"
"com4.no","true",3,2,1,"digicert.com;letsencrypt.org;pki.goog"
"animalia.no","true",4,2,1,"buypass.no;digicert.com;letsencrypt.org;pki.goog"
"itpays.no","true",2,0,0,"comodoca.com;letsencrypt.org"
"justervesenet.no","true",2,0,0,"comodoca.com;letsencrypt.org"
"autopass.no","true",2,1,0,"letsencrypt.org;pki.goog"
"optimalprint.no","true",5,5,0,"amazonaws.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com"
"emp-shop.no","true",8,7,1,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;digicert.com;letsencrypt.org;sectigo.com"
"nito.no","true",2,1,0,"letsencrypt.org;pki.goog"
"nersc.no","true",3,2,1,"globalsign.com;letsencrypt.org;sectigo.com"
"fagmobler.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"hipercom.no","true",1,0,0,"none"
"horze.no","true",5,0,0,"digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"reseptformidleren.no","true",2,0,0,"buypass.no;letsencrypt.org"
"skagerraksparebank.no","true",5,4,0,"buypass.no;digicert.com;globalsign.com;letsencrypt.org;sectigo.com"
"yahoo.no","true",1,0,1,""
"visa.no","true",0,0,1,""
"sn.no","true",3,2,0,"buypass.no;globalsign.com;sectigo.com"
"histreg.no","true",2,0,0,"harica.gr;sectigo.com"
"kron.no","true",1,0,0,"letsencrypt.org"
"mobile.no","true",4,0,0,"awstrust.com;digicert.com;globalsign.com;letsencrypt.org"
"10gb.no","true",1,0,0,"letsencrypt.org"
"rogalandsparebank.no","true",3,2,0,"buypass.no;globalsign.com;sectigo.com"
"ffi.no","true",5,0,0,"digicert.com;godaddy.com;letsencrypt.org;microsoft.com;sectigo.com"
"tibi.no","true",1,1,0,"harica.gr"
"bouvet.no","true",11,7,1,"amazon.com;comodo.com;comodoca.com;digicert.com;fastname.no;letsencrypt.org;pki.goog;sectigo.com;ssl.com;trust-provider.com;usertrust.com"
"danskebank.no","true",3,1,1,"amazon.com;buypass.com;globalsign.com"
"stavanger.kommune.no","true",3,0,0,"digicert.com;letsencrypt.org;sectigo.com"
"nextgentel.no","true",3,1,1,"digicert.com;letsencrypt.org;“globalsign.com”"
"moller.no","true",7,6,1,"amazon.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"holte.no","true",7,5,0,"comodoca.com;digicert.com;geotrust.com;letsencrypt.org;pki.goog;ssl.com;www.digicert.com"
"kontorgiganten.no","true",6,6,0,"awstrust.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"nsm.no","true",6,5,1,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"avida.no","true",5,0,1,"amazon.com;buypass.com;globalsign.com;godaddy.com;letsencrypt.org"
"apotekfordeg.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"gibud.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"happybytes.no","true",0,1,0,"globalsign.com"
"haugesund-sparebank.no","true",1,1,0,"globalsign.com"
"kryssordkjempen.no","true",1,0,0,"letsencrypt.org"
"rsbank.no","true",3,2,0,"buypass.no;globalsign.com;sectigo.com"
"skuesparebank.no","true",3,2,0,"buypass.no;globalsign.com;sectigo.com"
"totenbanken.no","true",3,2,0,"buypass.no;globalsign.com;sectigo.com"
"xakt.no","true",2,0,0,"digicert.com;letsencrypt.org"
"sortere.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"onevoice.no","true",4,0,1,"comodoca.com;digicert.com;letsencrypt.org;sectigo.com"
"norbits.no","true",6,6,1,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"730.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"egcloud.no","true",1,1,0,"letsencrypt.org"
"norwaypost.no","true",1,0,0,"letsencrypt.org"
"sammen.no","true",2,0,1,"letsencrypt.org;rapidssl.com"
"nordicchoicehotels.no","true",2,2,1,"buypass.com;letsencrypt.org"
"wintid.no","true",1,0,1,"entrust.net"
"marineshop.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"ktv.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"riksrevisjonen.no","true",4,0,0,"buypass.com;digicert.com;godaddy.com;sectigo.com"
"fast.no","true",0,0,0,""
"uustatus.no","true",3,0,1,"digicert.com;letsencrypt.org;sectigo.com"
"hio.no","true",1,1,1,"harica.gr"
"itxnorge.no","true",0,1,0,"sectigo.com"
"esunnmore.no","true",2,1,1,"globalsign.com;godaddy.com"
"jotex.no","true",5,2,0,"amazon.com;digicert.com;godaddy.com;letsencrypt.org;pki.goog"
"nordvikbolig.no","true",1,0,0,"letsencrypt.org"
"hafslund.no","true",3,0,0,"buypass.no;digicert.com;letsencrypt.org"
"is.no","true",1,0,0,"letsencrypt.org"
"utrop.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"elixir.no","true",1,1,1,"harica.gr"
"riksantikvaren.no","true",0,1,1,"buypass.no"
"anbudstorget.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"aktiv.no","true",2,1,0,"amazon.com;letsencrypt.org"
"homeroom.no","true",4,2,0,"amazon.com;digicert.com;letsencrypt.org;pki.goog"
"ikomm.no","true",6,3,1,"amazon.com;buypass.no;digicert.com;globalsign.com;letsencrypt.org;pki.goog"
"miele.no","true",2,0,0,"awstrust.com;digicert.com"
"skinsecret.no","true",1,0,0,"none"
"aplus.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"klarna.no","true",2,2,1,"amazonaws.com;digicert.com"
"berg-hansen.no","true",6,6,1,"comodoca.com;digicert.com;godaddy.com;letsencrypt.org;pki.goog;ssl.com"
"reiseguiden.no","true",9,5,0,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"acossky.no","true",3,0,1,"buypass.no;digicert.com;letsencrypt.org"
"cell.no","true",1,0,0,"letsencrypt.org"
"18.no","true",1,0,0,"letsencrypt.org"
"provisoevent.no","true",3,0,0,"buypass.no;letsencrypt.org;pki.goog"
"troll.no","true",1,0,0,"letsencrypt.org"
"sim.no","true",1,0,0,"letsencrypt.org"
"oy.no","true",1,0,0,"letsencrypt.org"
"mollerbil.no","true",5,5,1,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"srvr.no","true",6,5,1,"buypass.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"papirfly.no","true",3,3,1,"digicert.com;letsencrypt.org;ssl.com"
"unisea.no","true",4,0,0,"globalsign.com;letsencrypt.org;pki.goog;sectigo.com"
"cgmmedicalcloud.no","true",1,0,0,"letsencrypt.org"
