domain,has_caa,issue_count,issuewild_count,iodef_count,ca_list
"loopia.se","true",2,2,1,"digicert.com;sectigo.com"
"google.se","true",1,0,0,"pki.goog"
"netnod.se","true",2,1,1,";letsencrypt.org;netnod.se"
"blocket.se","true",5,0,0,"amazon.com;certainly.com;digicert.com;letsencrypt.org;pki.goog"
"hitta.se","true",4,4,0,"amazon.com;digicert.com;letsencrypt.org;sectigo.com"
"svd.se","true",6,0,0,"amazon.com;buypass.com;digicert.com;globalsign.com;letsencrypt.org;sectigo.com"
"kth.se","true",4,0,0,"digicert.com;harica.gr;letsencrypt.org;sectigo.com"
"gu.se","true",6,0,0,"digicert.com;godaddy.com;harica.gr;letsencrypt.org;pki.goog;sectigo.com"
"ntp.se","true",1,1,1,";letsencrypt.org"
"tele2.se","true",3,0,1,"digicert.com;letsencrypt.org;sectigo.com"
"blogspot.se","true",1,0,0,"pki.goog"
"skatteverket.se","true",2,1,1,";digicert.com;expisoft.se"
"egensajt.se","true",1,0,0,"letsencrypt.org"
"stockholm.se","true",4,0,0,"comodoca.com;digicert.com;globalsign.com;letsencrypt.org"
"pomf.se","true",2,2,0,"letsencrypt.org;sectigo.com"
"marcusoscarsson.se","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"riksdagen.se","true",3,1,0,";digicert.com;harica.gr;sectigo.com"
"fortnox.se","true",7,6,0,"comodoca.com;digicert.com;globalsign.com;infocert.it;letsencrypt.org;pki.goog;ssl.com"
"polisen.se","true",1,0,1,"digicert.com"
"tv4.se","true",6,0,0,"amazon.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;telia.com"
"transportstyrelsen.se","true",1,1,0,"digicert.com"
"goteborg.se","true",3,1,1,"amazonaws.com;letsencrypt.org;telia.com"
"eniro.se","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"seb.se","true",7,0,2,"amazonaws.com;buypass.no;digicert.com;entrust.net;letsencrypt.org;pki.goog;sectigo.com"
"trafikverket.se","true",2,2,0,"telia.com;telia.se"
"arbetsformedlingen.se","true",3,0,3,"digicert.com;globalsign.com;letsencrypt.org"
"broadview.se","true",2,0,0,"letsencrypt.org;sectigo.com"
"pinterest.se","true",1,0,0,"digicert.com"
"handelsbanken.se","true",1,1,1,";digicert.com"
"nordea.se","true",5,0,2,"digicert.com;entrust.net;globalsign.com;letsencrypt.org;sectigo.com"
"booli.se","true",10,5,0,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;cloudflare.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"ellos.se","true",5,2,0,"amazon.com;digicert.com;godaddy.com;letsencrypt.org;pki.goog"
"netonnet.se","true",3,0,1,"amazontrust.com;globalsign.com;letsencrypt.org"
"swedavia.se","true",5,4,1,"amazon.com;comodoca.com;digicert.com;letsencrypt.org;telia.com"
"domainnetwork.se","true",1,0,0,"sectigo.com"
"klaravik.se","true",3,0,0,"digicert.com;letsencrypt.org;pki.goog"
"comviq.se","true",2,0,1,"letsencrypt.org;sectigo.com"
"vackertvader.se","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"pensionsmyndigheten.se","true",2,1,1,";expisoft.se;globalsign.com"
"ancestry.se","true",6,5,0,"amazon.com;comodoca.com;digicert.com;globalsign.com;pki.goog;thawte.com"
"comhem.se","true",2,0,1,"digicert.com;sectigo.com"
"ving.se","true",3,0,0,"digicert.com;globalsign.com;letsencrypt.org"
"hornbach.se","true",5,4,1,"amazon.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com"
"thomann.se","true",3,0,0,"digicert.com;letsencrypt.org;pki.goog"
"msb.se","true",3,3,1,"globalsign.com;letsencrypt.org;telia.com"
"griffel.se","true",3,0,1,"amazon.com;digicert.com;letsencrypt.org"
"accum.se","true",2,1,1,";letsencrypt.org;sectigo.com"
"nibe.se","true",3,2,0,"digicert.com;letsencrypt.org;pki.goog"
"allas.se","true",6,6,0,"amazonaws.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"kundo.se","true",6,0,0,"amazon.com;digicert.com;globalsign.com;harica.gr;letsencrypt.org;sectigo.com"
"nordnet.se","true",1,1,1,";digicert.com"
"imy.se","true",3,0,0,"globalsign.com;letsencrypt.org;sectigo.com"
"spp.se","true",6,0,1,"amazon.com;buypass.no;digicert.com;globalsign.com;letsencrypt.org;pki.goog"
"sis.se","true",3,2,0,"digicert.com;letsencrypt.org;pki.goog"
"dinstudio.se","true",4,2,0,";globalsign.com;godaddy.com;letsencrypt.org;sectigo.com"
"tink.se","true",5,0,1,"amazon.com;digicert.com;letsencrypt.org;multicert.com;sectigo.com"
"hhs.se","true",6,0,0,"digicert.com;entrust.net;harica.gr;letsencrypt.org;pki.goog;sectigo.com"
"familjeliv.se","true",6,6,0,"amazonaws.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"ahlens.se","true",6,5,0,"comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;ssl.com"
"csn.se","true",2,2,0,"digicert.com;telia.com"
"elle.se","true",6,6,0,"amazonaws.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"fi.se","true",2,0,0,"digicert.com;sectigo.com"
"mdfnet.se","true",1,1,1,"comodo.com;letsencrypt.org"
"pts.se","true",1,0,1,"godaddy.com"
"skandia.se","true",1,1,1,"digicert.com"
"mil.se","true",1,1,1,";digicert.com"
"starwebserver.se","true",3,3,1,"amazon.com;comodoca.com;letsencrypt.org"
"oderland.se","true",5,0,0,"comodoca.com;geotrust.com;letsencrypt.org;rapidssl.com;symantec.com"
"unibet.se","true",4,3,0,"amazon.com;letsencrypt.org;ssl.com;trustwave.com"
"bluerange.se","true",2,1,0,"comodoca.com;letsencrypt.org"
"named.se","true",1,1,1,";letsencrypt.org"
"myheritage.se","true",1,0,0,"www.digicert.com"
"gamereactor.se","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"ginza.se","true",1,1,0,"sectigo.com"
"strawberry.se","true",5,0,0,"Digicert.com;amazonaws.com;buypass.com;letsencrypt.org;sectigo.com"
"forsvarsmakten.se","true",1,1,1,";digicert.com"
"bildelsbasen.se","true",0,1,0,"sectigo.com"
"interlan.se","true",4,0,0,"awstrust.com;comodoca.com;digicert.com;letsencrypt.org"
"sportadmin.se","true",4,1,1,"amazon.com;digicert.com;letsencrypt.org;sectigo.com"
"compricer.se","true",4,3,1,"amazon.com;digicert.com;globalsign.com;letsencrypt.org"
"kronofogden.se","true",1,1,1,";digicert.com"
"iis.se","true",4,0,1,"amazon.com;digicert.com;letsencrypt.org;sectigo.com"
"svenskdam.se","true",6,6,0,"amazonaws.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"annaforsberg.se","true",1,0,0,"letsencrypt.org"
"studentnatet.se","true",2,0,0,"letsencrypt.org;sectigo.com"
"hant.se","true",6,6,0,"amazonaws.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"fassberg.se","true",1,0,0,"letsencrypt.org"
"skelleftea.se","true",2,0,0,"letsencrypt.org;symantec.com"
"efn.se","true",1,1,1,";digicert.com"
"hv.se","true",3,1,0,"digicert.com;harica.gr;sectigo.com"
"univer.se","true",2,2,0,"amazon.com;certainly.com;letsencrypt.org"
"kivra.se","true",3,1,1,"digicert.com;letsencrypt.org;pki.goog"
"vinnova.se","true",3,0,1,"digicert.com;harica.gr;sectigo.com"
"port80.se","true",1,0,0,"letsencrypt.org"
"grnh.se","true",7,6,1,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;digicert.com;godaddy.com;letsencrypt.org"
"notino.se","true",6,5,1,"comodoca.com;digicert.com;geotrust.com;letsencrypt.org;pki.goog;ssl.com"
"bingel.se","true",1,0,0,"amazon.com"
"storspelare.se","true",4,4,0,"letsencrypt.org;securetrust.com;ssl.com;trustwave.com"
"hsb.se","true",6,3,1,"amazon.com;digicert.com;godaddy.com;letsencrypt.org;sectigo.com"
"hig.se","true",3,2,0,"harica.gr;letsencrypt.org;sectigo.com"
"reseguiden.se","true",9,5,0,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"irf.se","true",2,0,1,"harica.gr;letsencrypt.org"
"molndal.se","true",3,0,1,"digicert.com;globalsign.com;letsencrypt.org"
"naturskyddsforeningen.se","true",8,0,0,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog"
"mau.se","true",5,5,0,"digicert.com;harica.gr;letsencrypt.org;pki.goog;sectigo.com"
"addpro.se","true",2,0,0,"digicert.com;godaddy.com"
"deloox.se","true",1,0,1,"sectigo.com"
"his.se","true",3,0,1,"harica.gr;letsencrypt.org;sectigo.com"
"hj.se","true",2,0,1,"harica.gr;letsencrypt.org"
"webhotel24.se","true",1,0,0,"letsencrypt.org"
"gavle.se","true",2,0,0,"letsencrypt.org;telia.com"
"danskebank.se","true",3,1,1,";amazon.com;entrust.net;globalsign.com"
"bksn.se","true",2,1,0,"letsencrypt.org;sectigo.com"
"svk.se","true",6,5,1,"amazon.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"ju.se","true",2,0,1,"harica.gr;letsencrypt.org"
"internetstiftelsen.se","true",2,0,1,"comodoca.com;letsencrypt.org"
"lakemedelsverket.se","true",4,1,1,"digicert.com;letsencrypt.org;pki.goog;telia.com"
"apollo.se","true",7,6,1,"amazonaws.com;comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;ssl.com"
"caspeco.se","true",1,1,1,"letsencrypt.org"
"imusic.se","true",1,0,0,"letsencrypt.org"
"mah.se","true",4,4,0,"digicert.com;harica.gr;letsencrypt.org;sectigo.com"
"poise.se","true",2,0,0,"digicert.com;sectigo.com"
"norrkoping.se","true",2,0,1,"globalsign.com;letsencrypt.org"
"aid.se","true",0,1,0,"letsencrypt.org"
"teracom.se","true",2,0,1,"Digicert.com;letsencrypt.org"
"airbnb.se","true",1,0,1,"digicert.com"
"krisinformation.se","true",3,3,1,"globalsign.com;letsencrypt.org;telia.com"
"ymovies.se","true",1,0,0,"letsencrypt.org"
"dustin.se","true",8,6,0,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com"
"lund.se","true",3,0,1,"digicert.com;globalsign.com;letsencrypt.org"
"regionvarmland.se","true",1,1,0,"telia.com"
"personalkollen.se","true",1,0,1,"letsencrypt.org"
"lfv.se","true",2,1,0,"digicert.com;harica.gr"
