domain,has_caa,issue_count,issuewild_count,iodef_count,ca_list
"ku.dk","true",7,2,1,"amazon.com;comodoca.com;digicert.com;globalsign.com;harica.gr;letsencrypt.org;sectigo.com"
"lectio.dk","true",1,0,0,"thawte.com"
"webhosting.dk","true",2,0,0,"letsencrypt.org;sectigo.com"
"au.dk","true",6,3,1,"amazon.com;digicert.com;globalsign.com;harica.gr;letsencrypt.org;sectigo.com"
"tv2.dk","true",11,9,0,"affirmtrust.com;amazon.com;amazonaws.com;amazontrust.com;awstrust.com;digicert.com;geotrust.com;globalsign.com;letsencrypt.org;pki.goog;rapidssl.com"
"google.dk","true",1,0,0,"pki.goog"
"aau.dk","true",2,2,0,"godaddy.com;letsencrypt.org"
"sdu.dk","true",7,2,1,"amazon.com;amazonaws.com;amazontrust.com;digicert.com;globalsign.com;harica.gr;letsencrypt.org"
"dk-hostmaster.dk","true",2,1,1,";letsencrypt.org;sectigo.com"
"danskespil.dk","true",3,0,1,"awstrust.com;digicert.com;letsencrypt.org"
"cbs.dk","true",7,7,0,"comodoca.com;digicert.com;harica.gr;letsencrypt.org;sectigo.com;trust-provider.com;usertrust.com"
"danskebank.dk","true",6,1,1,";amazon.com;comodoca.com;digicert.com;entrust.net;globalsign.com;letsencrypt.org"
"krak.dk","true",6,6,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"fibianet.dk","true",4,0,1,"digicert.com;globalsign.com;letsencrypt.org;sectigo.com"
"dsb.dk","true",5,5,0,"amazontrust.com;awstrust.com;digicert.com;globalsign.com;letsencrypt.org"
"blogspot.dk","true",1,0,0,"pki.goog"
"mitid.dk","true",7,0,0,"buypass.com;digicert.com;entrust.net;globalsign.com;identrust.com;letsencrypt.org;sectigo.com"
"virk.dk","true",6,6,0,"comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;ssl.com"
"datatilsynet.dk","true",4,0,1,"digicert.com;globalsign.com;letsencrypt.org;sectigo.com"
"sundhed.dk","true",3,0,0,"amazon.com;digicert.com;letsencrypt.org"
"nordea.dk","true",5,0,2,"digicert.com;entrust.net;globalsign.com;letsencrypt.org;sectigo.com"
"stil.dk","true",4,0,1,"amazon.com;digicert.com;letsencrypt.org;sectigo.com"
"pinterest.dk","true",1,0,0,"digicert.com"
"ioi.dk","true",4,0,0,"digicert.com;globalsign.com;letsencrypt.org;pki.goog"
"bet365.dk","true",2,0,0,"digicert.com;pki.goog"
"chosting.dk","true",3,0,0,"comodo.com;comodoca.com;letsencrypt.org"
"netic.dk","true",3,1,1,"digicert.com;globalsign.com;letsencrypt.org"
"jemogfix.dk","true",2,0,0,"digicert.com;letsencrypt.org"
"thomann.dk","true",3,0,0,"digicert.com;letsencrypt.org;pki.goog"
"nordnet.dk","true",1,1,1,";digicert.com"
"klaravik.dk","true",3,0,0,"digicert.com;letsencrypt.org;pki.goog"
"ipapercms.dk","true",4,0,0,"amazon.com;digicert.com;letsencrypt.org;pki.goog"
"imusic.dk","true",1,1,0,"letsencrypt.org"
"lex.dk","true",3,0,0,"digicert.com;letsencrypt.org;pki.googl"
"nhl-data.dk","true",2,2,1,"digicert.com;letsencrypt.org;sectigo.com"
"punktum.dk","true",3,3,1,";digicert.com;letsencrypt.org;sectigo.com"
"regionh.dk","true",3,0,0,"digicert.com;globalsign.com;letsencrypt.org"
"workbox.dk","true",5,5,1,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"bibliotek.dk","true",1,0,1,"letsencrypt.org"
"coolshop.dk","true",6,6,1,"comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;ssl.com"
"netsite.dk","true",2,2,1,"comodoca.com;letsencrypt.org"
"ens.dk","true",4,0,1,"digicert.com;globalsign.com;letsencrypt.org;sectigo.com"
"sitnet.dk","true",2,2,1,"digicert.com;sectigo.com"
"fabel.dk","true",2,0,0,"certainly.com;letsencrypt.org"
"deic.dk","true",3,2,0,"harica.gr;letsencrypt.org;sectigo.com"
"efif.dk","true",1,1,0,"harica.gr"
"diis.dk","true",2,0,1,"Digicert.com;letsencrypt.org"
"pokerstars.dk","true",6,5,0,"amazonaws.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"legoland.dk","true",6,0,1,"amazonaws.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com"
"fdm.dk","true",3,2,1,"amazon.com;digicert.com;globalsign.com"
