domain,has_caa,issue_count,issuewild_count,iodef_count,ca_list
"apple.com","true",1,1,1,"pki.apple.com"
"facebook.com","true",1,0,0,"digicert.com"
"microsoft.com","true",0,0,0,""
"cloudflare.com","true",5,5,1,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"youtube.com","true",1,0,0,"pki.goog"
"office.com","true",5,0,1,"digicert.com;dtrust.de;entrust.net;globalsign.com;microsoft.com"
"mail.ru","true",3,0,0,"globalsign.com;harica.gr;visa.com"
"fbcdn.net","true",1,0,0,"digicert.com"
"live.com","true",5,0,1,"digicert.com;dtrust.de;entrust.net;globalsign.com;microsoft.com"
"gstatic.com","true",1,0,0,"pki.goog"
"googleapis.com","true",1,0,0,"pki.goog"
"instagram.com","true",1,0,0,"digicert.com"
"linkedin.com","true",0,0,0,""
"googletagmanager.com","true",1,0,0,"pki.goog"
"googlevideo.com","true",1,0,0,"pki.goog"
"azure.com","true",0,0,0,""
"microsoftonline.com","true",4,0,1,"digicert.com;entrust.net;globalsign.com;microsoft.com"
"github.com","true",4,3,0,"digicert.com;globalsign.com;letsencrypt.org;sectigo.com"
"windowsupdate.com","true",0,0,0,""
"bing.com","true",3,0,0,"digicert.com;globalsign.com;microsoft.com"
"googleusercontent.com","true",1,0,0,"pki.goog"
"netflix.com","true",3,0,0,"digicert.com;letsencrypt.org;pki.goog"
"fastly.net","true",3,0,1,"certainly.com;globalsign.com;letsencrypt.org"
"apple-dns.net","true",1,1,1,"pki.apple.com"
"doubleclick.net","true",1,0,0,"pki.goog"
"e2ro.com","true",2,1,1,"amazon.com;letsencrypt.org"
"office.net","true",4,0,1,"digicert.com;entrust.net;globalsign.com;microsoft.com"
"wordpress.org","true",1,0,1,"letsencrypt.org"
"digicert.com","true",1,1,0,"digicert.com"
"whatsapp.net","true",1,0,0,"digicert.com"
"wikipedia.org","true",3,0,1,"digicert.com;letsencrypt.org;pki.goog"
"aaplimg.com","true",1,1,1,"pki.apple.com"
"icloud.com","true",1,1,1,"pki.apple.com"
"windows.net","true",0,0,0,""
"sharepoint.com","true",3,0,1,"digicert.com;globalsign.com;microsoft.com"
"trafficmanager.net","true",0,0,0,""
"pinterest.com","true",1,0,0,"digicert.com"
"cloudfront.net","true",0,2,0,"amazonaws.com;digicert.com"
"yahoo.com","true",3,0,1,"digicert.com;globalsign.com;sectigo.com"
"whatsapp.com","true",1,0,0,"digicert.com"
"googlesyndication.com","true",1,0,0,"pki.goog"
"goo.gl","true",1,0,0,"pki.goog"
"youtu.be","true",1,0,0,"pki.goog"
"msn.com","true",3,0,0,"digicert.com;globalsign.com;microsoft.com"
"skype.com","true",3,0,0,"digicert.com;globalsign.com;microsoft.com"
"vimeo.com","true",5,4,0,"amazon.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog"
"zoom.us","true",6,0,1,"amazon.com;digicert.com;godaddy.com;letsencrypt.org;pki.goog;sectigo.com"
"wa.me","true",1,0,0,"digicert.com"
"gvt2.com","true",1,0,0,"pki.goog"
"roblox.com","true",6,0,1,"amazon.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com"
"gvt1.com","true",1,0,0,"pki.goog"
"ytimg.com","true",1,0,0,"pki.goog"
"yandex.net","true",1,1,0,"globalsign.com"
"yandex.ru","true",1,1,0,"globalsign.com"
"googledomains.com","true",1,0,0,"pki.goog"
"google-analytics.com","true",1,0,0,"pki.goog"
"opera.com","true",4,0,1,"digicert.com;globalsign.com;sectigo.com;trust-provider.com"
"office365.com","true",3,0,1,"digicert.com;globalsign.com;microsoft.com"
"cloudflare-dns.com","true",5,5,1,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"bit.ly","true",1,1,1,";amazon.com"
"wordpress.com","true",1,1,1,"letsencrypt.org"
"mozilla.org","true",10,0,1,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;certainly.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com"
"intuit.com","true",7,0,1,"amazon.com;comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com"
"sentry.io","true",2,0,1,"digicert.com;letsencrypt.org"
"windows.com","true",0,0,0,""
"reddit.com","true",2,0,0,"digicert.com;pki.goog"
"keenetic.io","true",1,0,0,"letsencrypt.org"
"googleadservices.com","true",1,0,0,"pki.goog"
"blogspot.com","true",1,0,0,"pki.goog"
"cloud.microsoft","true",2,0,1,"digicert.com;microsoft.com"
"github.io","true",3,3,0,"digicert.com;letsencrypt.org;sectigo.com"
"paypal.com","true",3,0,0,"digicert.com;quovadisglobal.com;visa.com"
"dns.google","true",2,0,0,"pki.goog"
"app-measurement.com","true",1,0,0,"pki.goog"
"gravatar.com","true",1,0,0,"letsencrypt.org"
"dropbox.com","true",3,0,0,"amazonaws.com;digicert.com;letsencrypt.org"
"msftncsi.com","true",0,0,1,""
"app-analytics-services.com","true",1,0,0,"pki.goog"
"outlook.com","true",4,0,1,"digicert.com;entrust.net;globalsign.com;microsoft.com"
"criteo.com","true",5,0,0,"amazon.com;digicert.com;godaddy.com;letsencrypt.org;pki.goog"
"steamserver.net","true",2,0,1,"digicert.com;letsencrypt.org"
"apache.org","true",3,0,1,"globalsign.com;letsencrypt.org;sectigo.com"
"tumblr.com","true",4,0,1,"comodoca.com;digicert.com;letsencrypt.org;pki.goog"
