domain,has_caa,issue_count,issuewild_count,iodef_count,ca_list
"youtube.com","true",1,0,0,"pki.goog"
"microsoft.com","true",0,0,0,""
"cloudflare.com","true",5,5,1,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"googleapis.com","true",1,0,0,"pki.goog"
"apple.com","true",1,1,1,"pki.apple.com"
"office.com","true",5,0,1,"digicert.com;dtrust.de;entrust.net;globalsign.com;microsoft.com"
"live.com","true",5,0,1,"digicert.com;dtrust.de;entrust.net;globalsign.com;microsoft.com"
"facebook.com","true",1,0,0,"digicert.com"
"mail.ru","true",3,0,0,"globalsign.com;harica.gr;visa.com"
"instagram.com","true",1,0,0,"digicert.com"
"gstatic.com","true",1,0,0,"pki.goog"
"linkedin.com","true",0,0,0,""
"microsoftonline.com","true",4,0,1,"digicert.com;entrust.net;globalsign.com;microsoft.com"
"googlevideo.com","true",1,0,0,"pki.goog"
"fbcdn.net","true",1,0,0,"digicert.com"
"googletagmanager.com","true",1,0,0,"pki.goog"
"azure.com","true",0,0,0,""
"doubleclick.net","true",1,0,0,"pki.goog"
"bing.com","true",3,0,0,"digicert.com;globalsign.com;microsoft.com"
"windowsupdate.com","true",0,0,0,""
"github.com","true",4,3,0,"digicert.com;globalsign.com;letsencrypt.org;sectigo.com"
"googleusercontent.com","true",1,0,0,"pki.goog"
"office.net","true",4,0,1,"digicert.com;entrust.net;globalsign.com;microsoft.com"
"whatsapp.net","true",1,0,0,"digicert.com"
"fastly.net","true",3,0,1,"certainly.com;globalsign.com;letsencrypt.org"
"wikipedia.org","true",3,0,1,"digicert.com;letsencrypt.org;pki.goog"
"aaplimg.com","true",1,1,1,"pki.apple.com"
"netflix.com","true",3,0,0,"digicert.com;letsencrypt.org;pki.goog"
"apple-dns.net","true",1,1,1,"pki.apple.com"
"wordpress.org","true",1,0,1,"letsencrypt.org"
"digicert.com","true",1,1,0,"digicert.com"
"icloud.com","true",1,1,1,"pki.apple.com"
"pinterest.com","true",1,0,0,"digicert.com"
"googlesyndication.com","true",1,0,0,"pki.goog"
"yahoo.com","true",3,0,1,"digicert.com;globalsign.com;sectigo.com"
"e2ro.com","true",2,1,1,"amazon.com;letsencrypt.org"
"youtu.be","true",1,0,0,"pki.goog"
"sharepoint.com","true",3,0,1,"digicert.com;globalsign.com;microsoft.com"
"trafficmanager.net","true",0,0,0,""
"windows.net","true",0,0,0,""
"msn.com","true",3,0,0,"digicert.com;globalsign.com;microsoft.com"
"goo.gl","true",1,0,0,"pki.goog"
"whatsapp.com","true",1,0,0,"digicert.com"
"skype.com","true",3,0,0,"digicert.com;globalsign.com;microsoft.com"
"vimeo.com","true",5,4,0,"amazon.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog"
"cloudfront.net","true",0,2,0,"amazonaws.com;digicert.com"
"gvt2.com","true",1,0,0,"pki.goog"
"gvt1.com","true",1,0,0,"pki.goog"
"ytimg.com","true",1,0,0,"pki.goog"
"zoom.us","true",6,0,1,"amazon.com;digicert.com;godaddy.com;letsencrypt.org;pki.goog;sectigo.com"
"bit.ly","true",1,1,1,";digicert.com"
"office365.com","true",3,0,1,"digicert.com;globalsign.com;microsoft.com"
"opera.com","true",4,0,1,"digicert.com;globalsign.com;sectigo.com;trust-provider.com"
"wordpress.com","true",1,1,1,"letsencrypt.org"
"google-analytics.com","true",1,0,0,"pki.goog"
"cloudflare-dns.com","true",5,5,1,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"yandex.net","true",1,1,0,"globalsign.com"
"wa.me","true",1,0,0,"digicert.com"
"roblox.com","true",6,0,1,"amazon.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com"
"windows.com","true",0,0,0,""
"googleadservices.com","true",1,0,0,"pki.goog"
"reddit.com","true",2,0,0,"digicert.com;pki.goog"
"mozilla.org","true",10,0,1,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;certainly.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com"
"googledomains.com","true",1,0,0,"pki.goog"
"blogspot.com","true",1,0,0,"pki.goog"
"criteo.com","true",5,0,0,"amazon.com;digicert.com;godaddy.com;letsencrypt.org;pki.goog"
"sentry.io","true",2,0,1,"digicert.com;letsencrypt.org"
"intuit.com","true",7,0,1,"amazon.com;comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com"
"dns.google","true",2,0,0,"pki.goog"
"app-measurement.com","true",1,0,0,"pki.goog"
"github.io","true",3,3,0,"digicert.com;letsencrypt.org;sectigo.com"
"gravatar.com","true",1,0,0,"letsencrypt.org"
"apache.org","true",3,0,1,"globalsign.com;letsencrypt.org;sectigo.com"
"dropbox.com","true",3,0,0,"amazonaws.com;digicert.com;letsencrypt.org"
"paypal.com","true",3,0,0,"digicert.com;quovadisglobal.com;visa.com"
"outlook.com","true",4,0,1,"digicert.com;entrust.net;globalsign.com;microsoft.com"
"msftncsi.com","true",0,0,1,""
"cloud.microsoft","true",2,0,1,"digicert.com;microsoft.com"
"app-analytics-services.com","true",1,0,0,"pki.goog"
"tumblr.com","true",4,0,1,"comodoca.com;digicert.com;letsencrypt.org;pki.goog"
"yandex.ru","true",1,1,0,"globalsign.com"
"pki.goog","true",1,0,0,"pki.goog"
"ggpht.com","true",1,0,0,"pki.goog"
"steamserver.net","true",2,0,1,"digicert.com;letsencrypt.org"
"nytimes.com","true",9,0,0,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;symantec.com"
"flickr.com","true",4,0,1,"amazon.com;digicert.com;globalsign.com;letsencrypt.org"
"nih.gov","true",8,7,0,"amazon.com;digicert.com;entrust.net;globalsign.com;godaddy.com;identrust.com;letsencrypt.org;sectigo.com"
"wildberries.ru","true",6,6,0,"comodoca.com;globalsign.com;letsencrypt.org;sectigo.com;trust-provider.com;usertrust.com"
"medium.com","true",7,3,0,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;digicert.com;letsencrypt.org;pki.goog"
"f5.com","true",7,0,1,"amazon.com;comodoca.com;digicert.com;entrust.net;letsencrypt.org;pki.goog;sectigo.com"
"taboola.com","true",1,1,1,"digicert.com"
"ozon.ru","true",4,4,1,"emsign.com;globalsign.com;harica.gr;letsencrypt.org"
"rbxcdn.com","true",6,0,1,"amazon.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com"
"aliyuncs.com","true",1,0,1,"globalsign.com"
"soundcloud.com","true",9,0,0,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com"
"msftconnecttest.com","true",0,0,1,""
"android.com","true",1,0,0,"pki.goog"
"cdn-apple.com","true",1,1,1,"pki.apple.com"
"adtrafficquality.google","true",1,0,0,"pki.goog"
"azurefd.net","true",3,2,0,"digicert.com;microsoft.com"
"nflxso.net","true",2,0,0,"pki.goog;thawte.com"
"doubleverify.com","true",4,8,1,"amazon.com;digicert.com;godaddy.com;letsencrypt.org;microsoft.com;pki.apple.com;pki.goog;sectigo.com"
"w3.org","true",7,6,1,"amazon.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"forbes.com","true",7,0,1,"amazon.com;digicert.com;geotrust.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com"
"azurewebsites.net","true",0,0,0,""
"sourceforge.net","true",4,0,1,"amazon.com;digicert.com;letsencrypt.org;sectigo.com"
"lencr.org","true",8,8,0,"amazon.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com;www.digicert.com"
"bbc.com","true",3,1,1,"amazon.com;digicert.com;globalsign.com"
"gmail.com","true",1,0,0,"pki.goog"
"oracle.com","true",3,0,0,"digicert.com;letsencrypt.org;pki.goog"
"bbc.co.uk","true",3,1,1,"amazon.com;digicert.com;globalsign.com"
"webex.com","true",6,2,1,"amazon.com;digicert.com;globalsign.com;identrust.com;letsencrypt.org;pki.goog"
"weather.com","true",6,0,0,"amazon.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com"
"ubuntu.com","true",3,2,1,"digicert.com;letsencrypt.org"
"netangels.ru","true",2,0,0,"globalsign.com;letsencrypt.org"
"researchgate.net","true",3,0,1,"globalsign.com;letsencrypt.org;pki.goog"
"cpanel.net","true",10,0,2,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;comodoca.com;digicert.com;godaddy.com;letsencrypt.org;pki.goog"
"ebay.com","true",3,0,1,"comodoca.com;digicert.com;symantec.com"
"openai.com","true",6,5,0,"amazon.com;digicert.com;godaddy.com;letsencrypt.org;pki.goog;sectigo.com"
