domain,has_caa,issue_count,issuewild_count,iodef_count,ca_list
"youtube.com","true",1,0,0,"pki.goog"
"apple.com","true",1,1,1,"pki.apple.com"
"microsoft.com","true",0,0,0,""
"cloudflare.com","true",5,5,1,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"facebook.com","true",1,0,0,"digicert.com"
"googleapis.com","true",1,0,0,"pki.goog"
"office.com","true",5,0,1,"digicert.com;dtrust.de;entrust.net;globalsign.com;microsoft.com"
"mail.ru","true",3,0,0,"globalsign.com;harica.gr;visa.com"
"instagram.com","true",1,0,0,"digicert.com"
"live.com","true",5,0,1,"digicert.com;dtrust.de;entrust.net;globalsign.com;microsoft.com"
"gstatic.com","true",1,0,0,"pki.goog"
"googlevideo.com","true",1,0,0,"pki.goog"
"microsoftonline.com","true",4,0,1,"digicert.com;entrust.net;globalsign.com;microsoft.com"
"linkedin.com","true",0,0,0,""
"googletagmanager.com","true",1,0,0,"pki.goog"
"fbcdn.net","true",1,0,0,"digicert.com"
"windowsupdate.com","true",0,0,0,""
"github.com","true",4,3,0,"digicert.com;globalsign.com;letsencrypt.org;sectigo.com"
"azure.com","true",0,0,0,""
"bing.com","true",3,0,0,"digicert.com;globalsign.com;microsoft.com"
"wikipedia.org","true",3,0,1,"digicert.com;letsencrypt.org;pki.goog"
"doubleclick.net","true",1,0,0,"pki.goog"
"googleusercontent.com","true",1,0,0,"pki.goog"
"fastly.net","true",3,0,1,"certainly.com;globalsign.com;letsencrypt.org"
"office.net","true",4,0,1,"digicert.com;entrust.net;globalsign.com;microsoft.com"
"digicert.com","true",1,1,0,"digicert.com"
"netflix.com","true",3,0,0,"digicert.com;letsencrypt.org;pki.goog"
"whatsapp.net","true",1,0,0,"digicert.com"
"apple-dns.net","true",1,1,1,"pki.apple.com"
"aaplimg.com","true",1,1,1,"pki.apple.com"
"youtu.be","true",1,0,0,"pki.goog"
"pinterest.com","true",1,0,0,"digicert.com"
"yahoo.com","true",3,0,1,"digicert.com;globalsign.com;sectigo.com"
"icloud.com","true",1,1,1,"pki.apple.com"
"sharepoint.com","true",3,0,1,"digicert.com;globalsign.com;microsoft.com"
"trafficmanager.net","true",0,0,0,""
"wordpress.org","true",1,0,1,"letsencrypt.org"
"e2ro.com","true",2,1,1,"amazon.com;letsencrypt.org"
"windows.net","true",0,0,0,""
"googlesyndication.com","true",1,0,0,"pki.goog"
"whatsapp.com","true",1,0,0,"digicert.com"
"msn.com","true",3,0,0,"digicert.com;globalsign.com;microsoft.com"
"skype.com","true",3,0,0,"digicert.com;globalsign.com;microsoft.com"
"vimeo.com","true",5,4,0,"amazon.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog"
"roblox.com","true",6,0,1,"amazon.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com"
"goo.gl","true",1,0,0,"pki.goog"
"cloudfront.net","true",0,2,0,"amazonaws.com;digicert.com"
"gvt2.com","true",1,0,0,"pki.goog"
"gvt1.com","true",1,0,0,"pki.goog"
"zoom.us","true",6,0,1,"amazon.com;digicert.com;godaddy.com;letsencrypt.org;pki.goog;sectigo.com"
"ytimg.com","true",1,0,0,"pki.goog"
"bit.ly","true",1,1,1,"amazon.com"
"yandex.net","true",1,1,0,"globalsign.com"
"wordpress.com","true",1,1,1,"letsencrypt.org"
"office365.com","true",3,0,1,"digicert.com;globalsign.com;microsoft.com"
"google-analytics.com","true",1,0,0,"pki.goog"
"opera.com","true",4,0,1,"digicert.com;globalsign.com;sectigo.com;trust-provider.com"
"cloudflare-dns.com","true",5,5,1,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"wa.me","true",1,0,0,"digicert.com"
"reddit.com","true",2,0,0,"digicert.com;pki.goog"
"googledomains.com","true",1,0,0,"pki.goog"
"windows.com","true",0,0,0,""
"mozilla.org","true",10,0,1,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;certainly.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com"
"googleadservices.com","true",1,0,0,"pki.goog"
"criteo.com","true",5,0,0,"amazon.com;digicert.com;godaddy.com;letsencrypt.org;pki.goog"
"blogspot.com","true",1,0,0,"pki.goog"
"sentry.io","true",2,0,1,"digicert.com;letsencrypt.org"
"intuit.com","true",7,0,1,"amazon.com;comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com"
"github.io","true",3,3,0,"digicert.com;letsencrypt.org;sectigo.com"
"app-measurement.com","true",1,0,0,"pki.goog"
"dns.google","true",2,0,0,"pki.goog"
"gravatar.com","true",1,0,0,"letsencrypt.org"
"paypal.com","true",3,0,0,"digicert.com;quovadisglobal.com;visa.com"
"msftncsi.com","true",0,0,1,""
"outlook.com","true",4,0,1,"digicert.com;entrust.net;globalsign.com;microsoft.com"
"dropbox.com","true",3,0,0,"amazonaws.com;digicert.com;letsencrypt.org"
"yandex.ru","true",1,1,0,"globalsign.com"
"cloud.microsoft","true",2,0,1,"digicert.com;microsoft.com"
"apache.org","true",3,0,1,"globalsign.com;letsencrypt.org;sectigo.com"
"steamserver.net","true",2,0,1,"digicert.com;letsencrypt.org"
"tumblr.com","true",4,0,1,"comodoca.com;digicert.com;letsencrypt.org;pki.goog"
"app-analytics-services.com","true",1,0,0,"pki.goog"
"pki.goog","true",1,0,0,"pki.goog"
"ggpht.com","true",1,0,0,"pki.goog"
"nytimes.com","true",9,0,0,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;symantec.com"
"flickr.com","true",4,0,1,"amazon.com;digicert.com;globalsign.com;letsencrypt.org"
"nih.gov","true",8,7,0,"amazon.com;digicert.com;entrust.net;globalsign.com;godaddy.com;identrust.com;letsencrypt.org;sectigo.com"
"ozon.ru","true",4,4,1,"emsign.com;globalsign.com;harica.gr;letsencrypt.org"
"medium.com","true",7,3,0,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;digicert.com;letsencrypt.org;pki.goog"
"wildberries.ru","true",6,6,0,"comodoca.com;globalsign.com;letsencrypt.org;sectigo.com;trust-provider.com;usertrust.com"
"taboola.com","true",1,1,1,"digicert.com"
"aliyuncs.com","true",1,0,1,"globalsign.com"
"soundcloud.com","true",9,0,0,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com"
"rbxcdn.com","true",6,0,1,"amazon.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com"
"msftconnecttest.com","true",0,0,1,""
"f5.com","true",7,0,1,"amazon.com;comodoca.com;digicert.com;entrust.net;letsencrypt.org;pki.goog;sectigo.com"
"android.com","true",1,0,0,"pki.goog"
"cdn-apple.com","true",1,1,1,"pki.apple.com"
"azurefd.net","true",3,2,0,"digicert.com;microsoft.com"
"adtrafficquality.google","true",1,0,0,"pki.goog"
"nflxso.net","true",2,0,0,"pki.goog;thawte.com"
"doubleverify.com","true",4,8,1,"amazon.com;digicert.com;godaddy.com;letsencrypt.org;microsoft.com;pki.apple.com;pki.goog;sectigo.com"
"forbes.com","true",7,0,1,"amazon.com;digicert.com;geotrust.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com"
"azurewebsites.net","true",0,0,0,""
"w3.org","true",7,6,1,"amazon.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"bbc.com","true",3,1,1,"amazon.com;digicert.com;globalsign.com"
"sourceforge.net","true",4,0,1,"amazon.com;digicert.com;letsencrypt.org;sectigo.com"
"gmail.com","true",1,0,0,"pki.goog"
"webex.com","true",6,2,1,"amazon.com;digicert.com;globalsign.com;identrust.com;letsencrypt.org;pki.goog"
"bbc.co.uk","true",3,1,1,"amazon.com;digicert.com;globalsign.com"
"lencr.org","true",8,8,0,"amazon.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com;www.digicert.com"
"oracle.com","true",3,0,0,"digicert.com;letsencrypt.org;pki.goog"
"ubuntu.com","true",3,2,1,"digicert.com;letsencrypt.org"
"researchgate.net","true",3,0,1,"globalsign.com;letsencrypt.org;pki.goog"
"netangels.ru","true",2,0,0,"globalsign.com;letsencrypt.org"
"cpanel.net","true",10,0,2,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;comodoca.com;digicert.com;godaddy.com;letsencrypt.org;pki.goog"
